role_id	role_name	server
554632	Lopesh	10701
323824	Babyjesus	10101
109028	Passive	10601
119960	Neyaeh	10201
205141	Jessiek	10601
611389	Fiftyshade	10701
107855	Tempest	10901
107880	TSM	10901
425866	Vamos	10701
198603	ChamJim	10201
111224	Cl0ud	10101
300508	EvoBlackswan	10101
400221	Undisputed	10701
931864	EonD	10201
609743	kalanisha	10101
449446	Saiko	10101
381184	Bruduce	10101
177308	Zelkova	10201
109161	Myu	10201
115841	Sharpy	10201
476911	Reinncor	10701
140372	JasonX	10201
332117	Ruthlessa	10901
126162	Jammin	10901
112694	Wiyot	10101
344089	xXDevilBoyXx	10201
405239	Xaaka	10701
116674	YoungKing	10901
537396	LordGoku	10101
109587	Croixant	10201
298339	Blazeden	10101
422788	Slesar	10701
115262	Sluuty	10901
439654	Furina	10701
229493	Lukysal	10101
613511	krizze	10701
432027	Abetox	10201
356625	Grog22	10901
108135	Bazooka	10601
112303	Daron	10201
328733	Forged	10901
111155	ErzaScar	10901
111918	Axius	10901
110522	Dahak	10601
211147	Beldandy	10201
438836	ArcaneArt	10102
108138	Schnauzeeeee	10601
443135	MrsMystical	10102
383516	Twoxc	10901
617562	Kaiterlie	10002
114573	Nickkn	10101
186371	MsCookie	10101
198790	Babyyy	10101
114115	oKk	10901
195400	GTX	10201
121800	Mahagyan	10601
157903	TiDallas	10901
193000	CrippledJ	10901
111492	Hack1ge	10601
911781	Daniele	10102
134326	Hurricane	10101
110256	Aegoras	10901
286139	Dumpling	10901
840266	nyleroN	10201
213626	ThyDarkest	10201
122128	Dar	10101
114933	Gii	10901
900504	Melay	10701
312272	Camfajuel	10901
146974	Veronica	10901
113592	Arthas	10901
183050	Spareo	10901
397812	Rustyy	10901
461275	Muthaffar78	10701
185157	Bepeck	10601
130260	Kiki	10101
112528	AresGodOfWar	10901
112596	Iron	10901
112543	Cayman	10901
433794	Elune	10701
148496	Helinyu	10901
562812	Puk4	10701
452744	Omigod	10701
109178	Zeref	10201
593870	Fachella	10701
413142	Charlotte	10701
114140	Atenea	10901
487342	Kapo	10102
274560	Daemonic	10901
116032	Embersky	10901
114186	Jonser54	10901
114157	Dots	10901
111314	Basim	10201
515112	Ainacaran	10701
209307	Serafia	10601
294122	Grimmlock	10901
865598	dhan	10201
112533	Romoragan	10901
132388	SptnFred	10901
286919	Cayenne	10101
161044	WarChieftain	10901
109208	Melti	10101
136713	Akimol	10901
211871	Shadowblood	10601
321641	Ropaid	10901
491194	BloodNGutz	10901
124943	Legion	10901
138108	Scas	10901
129821	Deee	10901
